dimensao,como_funciona_no_FIDC,como_funciona_no_CRI,vantagem_real,evidencia,o_que_falta_para_confirmar,fonte_id,status,nota_metodo
Velocidade de originação,Veículo warehouse compra continuamente enquanto há revolvência e capital.,"Oferta exige documentação, registro, bookbuilding quando aplicável e liquidação.",FIDC,mandato e períodos de revolvência dos regulamentos,tempo de execução comparável por operação,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Prazo do passivo,Depende do suplemento; vários vencimentos efetivos estão n/d nos documentos públicos.,Séries chegam a 2038 e alongam o funding do pool cedido.,CRI,02_Series e 05_Prazos_WAM,vencimentos efetivos dos FIDCs,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Risco de rollover,Surge no fim da revolvência e no vencimento das cotas; datas n/d limitam quantificação.,Take-out trava prazo por série e reduz rollover do pool transferido.,CRI,05_Prazos_WAM,cronogramas completos dos FIDCs,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Custo,Taxas e custos recorrentes são parcialmente públicos.,Taxas contratadas são públicas; equivalência DI/all-in está n/d sem curva datada e custos completos.,neutro,12_Custo_Captacao,"curva B3/inflação implícita, hedge, preço de cessão e custos recorrentes",METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Base de investidores,Cotas públicas concentram investidores qualificados/profissionais conforme a oferta.,Ofertas encerradas alcançaram milhares de pessoas físicas em várias emissões.,CRI,10_Subscritores,posição corrente por titular,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Granularidade exigida do pool,"Limites variam de 0,10% a 20%; alguns FIDCs têm caps de top 10/integrador.",CRIs normalmente apertam WAM e concentração individual do pool cedido.,CRI,03_Elegibilidade e 04_Concentracao,tape atual por CCB,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Retenção de risco,Júnior costuma ficar com a originadora/relacionadas e pode ter saque condicionado.,Série privada subordinada fica com Solfácil/relacionadas nas estruturas documentadas.,neutro,02_Series e 07_Subordinada,titularidade corrente e capital econômico retido,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Flexibilidade de revolvência,Permite compras e gestão do denominador durante o período contratual.,Pool fica vinculado; amortização e substituições seguem o termo.,FIDC,06_Waterfall,uso efetivo de substituições por operação,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Custo fixo por veículo,"Administração, gestão, custódia e cobrança recorrem durante a vida do fundo.","Distribuição, securitização, agente, rating e escrituração incidem por emissão.",neutro,12_Custo_Captacao,todas as faturas e PL médio,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
Transparência pós-emissão,"Informe Mensal publica PL, carteira, aging e cotas por classe.","Informe Mensal publica saldo, créditos, pagamentos e classes; posição de investidores permanece n/d.",FIDC,"08_PDD, 10_Subscritores e 13_Cronograma",tape por CCB e posição corrente,METH_COMPARACAO_FIDC_CRI,Inferido,Veredito limitado às fontes públicas listadas; n/d não é convertido em vantagem.
