metrica,formula,unidade,qualificador,fonte_id,status,nota_metodo
WAM observado,Σ(saldo_i × dias até vencimento_i) / Σ saldo_i,dias,Exige tape por recebível; teto contratual fica em coluna separada.,METH_RECONCILIACAO,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Prazo máximo em meses,"prazo_max_recebivel_dias / 30,4375",meses,Conversão de comparação; contrato continua regido em dias quando assim redigido.,METH_RECONCILIACAO,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Subordinação / attachment,(NAV mezanino + NAV júnior) / carteira bruta,% da carteira,NAV por classe vem do Informe Mensal; carteira bruta deve manter o mesmo perímetro.,CVM_FIDC_202607_X2,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Attachment após saque,(NAV mezanino pós + NAV júnior pós) / carteira bruta pós,% da carteira,Fica n/d sem valor/data do saque observado.,METH_RECONCILIACAO,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Folga ao piso,[Sub_NAV − piso × PL] / [1 − piso],R$,"Só calculável quando Sub_NAV, PL e piso têm a mesma competência.",METH_RECONCILIACAO,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
PDD observada,redução ao valor de recuperação / carteira ou créditos,% da carteira,Denominador aparece no nome da coluna; não combina FIDC e CRI sem coluna de data-base.,CVM_FIDC_202607_I_V | CVM_CRI_2026_ATIVO_CARTEIRA,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Saldo acima de 90 dias,"Σ faixas 91–120, 121–150, 151–180 e posteriores / carteira",% da carteira,A faixa CVM até 30 dias não permite separar 0–15 e 16–30.,CVM_FIDC_202607_I_V | CVM_CRI_2026_ATIVO_CARTEIRA,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Efeito vagão,sinalizar quando PDD / saldo >90d > 100%,sim/não/indício,Razão acima de 100% é indício; confirmação contratual vem do regulamento/termo.,METH_RECONCILIACAO,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Concentração observada,maior valor da Tabela VIII / carteira; top10 = soma dos 10 maiores / carteira,% da carteira,Tabela VIII não identifica os devedores; zeros publicados são preservados.,CVM_FIDC_202607_VIII,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Gap ativo–passivo,prazo legal da série mais longa − teto de WAM,meses,É um comparador conservador e não uma duration financeira.,METH_RECONCILIACAO,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Equivalência para DI,resolver taxa equivalente com curva DI futura B3 e inflação implícita NTN-B na data-base,bps sobre DI,"Sem as curvas datadas, resultado permanece n/d; não há estimativa de cabeça.",B3_CURVA_DI_20260822 | ANBIMA_CURVA_20260822,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Custo all-in,custo ponderado das cotas/séries públicas + custos fixos anualizados / PL médio,bps a.a.,"Preço de cessão, hedge e capital retido ficam fora salvo divulgação específica.",METH_RECONCILIACAO,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Saldo mensal realizado,Valor_Certificados quando claramente agregado em R$; saldo inicial = saldo final anterior documentado,R$,"Na primeira competência, saldo inicial permanece n/d; Total_Integralizado não substitui saldo corrente. Valor unitário/ambíguo permanece n/d.",CVM_CRI_2026_CLASSE,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
Antes/depois,competências t−3…t+3 relativas ao mês da cessão,índice/moeda/%,"Sem tape por CCB, mudança de denominador e seleção do pool não são separáveis.",CVM_FIDC_2023_I_IV_V_X2 | CVM_FIDC_2024_I_IV_V_X2,Documentado,Fórmula implementada em tools/prepare_solfacil_data.py quando os insumos existem.
