veiculo_id,tipo,descricao_do_gatilho,parametro_numerico,consequencia_automatica,quorum_de_dispensa,prazo_de_cura,ja_ocorreu,data_da_ocorrencia,fonte_id,status,nota_metodo
FIDC_I,Avaliação,atraso de estoque ou parcelas acima de 15%,15%,pode levar à liquidação/sequencial,n/d,n/d,n/d,n/d,DOC_FIDC_I_REG_202411,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_I,Avaliação,rating sênior cai 2 níveis,2 níveis,avaliação,n/d,n/d,n/d,n/d,DOC_FIDC_I_REG_202411,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_II,Avaliação,"atraso estoque >10% ou roll-90 >0,9%","10% / 0,9%",avaliação,n/d,n/d,n/d,n/d,DOC_FIDC_II_REG_202412,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_III,Desalavancagem,"atraso estoque >12% ou parcelas >8,5%","12% / 8,5%",sequencial,n/d,10 DU,n/d,n/d,DOC_FIDC_III_REG_202512,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_IV,Avaliação,shortfall benchmark sênior,2 DU,avaliação,n/d,2 DU,n/d,n/d,DOC_FIDC_IV_REG_202510,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_V,Avaliação,atraso estoque >15% ou arrecadação >10%,15% / 10%,avaliação,n/d,n/d,n/d,n/d,DOC_FIDC_V_REG_202411,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_VI,Desalavancagem,atraso-90 >15%,15%,sequencial,75% júnior para matérias previstas,n/d,n/d,n/d,DOC_FIDC_VI_REG_202605,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_VI,Avaliação,"rolagem-90 >1,6%","1,6%",avaliação,n/d,n/d,n/d,n/d,DOC_FIDC_VI_REG_202605,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_VI,Amortização Antecipada,solicitação após 18 meses,18 meses,amortização das públicas,75% júnior,n/d,n/d,n/d,DOC_FIDC_VI_REG_202605,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_VII,Desalavancagem,atraso-90 >15%,15%,encerra revolvência e ativa sequencial,n/d,n/d,n/d,n/d,DOC_FIDC_VII_REG_202605,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_VII,Resgate Compulsório,desinvestimento no mês 61 ou PL R$100 mi,61 meses / R$100 mi,desinvestimento,n/d,n/d,n/d,n/d,DOC_FIDC_VII_REG_202605,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
FIDC_VII,Amortização Antecipada,solicitação após 24 meses,24 meses,"amortização com prêmio 0,20% a.a.",75% júnior,n/d,n/d,n/d,DOC_FIDC_VII_REG_202605,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_K1,Desalavancagem,índice de atraso estoque >15% por 2 verificações,15%; 2 verificações,waterfall sequencial,n/d,3 verificações conformes para retorno,n/d,n/d,ANX_CRI1_PROSP_20240216,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_K1,Desalavancagem,downgrade S1/S2 em 2 níveis,2 níveis,waterfall sequencial,n/d,3 verificações conformes,n/d,n/d,ANX_CRI1_PROSP_20240216,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_K2,Desalavancagem,atraso >15% por 3 verificações,15%; 3 verificações,waterfall sequencial,n/d,6 meses; depois sequencial permanente salvo assembleia,n/d,n/d,ANX_CRI2_RATING_202406,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_K2,Desalavancagem,cobertura 159%/123%/110%/105% desenquadrada,159%/123%/110%/105%,waterfall sequencial,n/d,2 consecutivas ou 4 em 12,n/d,n/d,ANX_CRI2_RATING_202406,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_K3,Resgate Compulsório,hipóteses referenciadas na lâmina,n/d,resgate,n/d,n/d,n/d,n/d,ANX_CRI3_LAM_PREL_20250422,n/d,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_K4,Avaliação,termo definitivo necessário para a lista completa,n/d,n/d,n/d,n/d,n/d,n/d,ANX_CRI4_INICIO_20250929,n/d,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_V174,Resgate Compulsório,98% do VNU amortizado e caixa suficiente,98%,quitação integral,n/d,n/d,n/d,n/d,ANX_CRIV_LAM_PREL_20260417,Documentado,Ocorrência histórica não é inferida a partir da cláusula contratual.
CRI_V177,Avaliação,termo integral necessário para a lista comparável,n/d,n/d,n/d,n/d,n/d,n/d,CVM_FUNDOSNET_VERT177_20260720,n/d,Ocorrência histórica não é inferida a partir da cláusula contratual.
