Nome,SIFRA LP
Grupo,FIDC Sifra LP
CNPJ,41.351.629/0001-63
Páginas locais analisadas,445
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,6
Volume emitido identificado (R$ mm),1.340
Primeira emissão identificada,19/07/2021
Última emissão identificada,11/05/2026
"Emissões detectadas (data, classe, preço e volume)","19/07/2021 · 1ª Série: R$ 80 mm; Rem DI + 4,25%
22/07/2024 · 2ª Série: R$ 80 mm
22/07/2024 · Cotas Seniores e nas Cotas Subordinadas Mezanino do Fundo não é · Sênior: termos econômicos não identificados
17/04/2025 · Cotas Seniores e nas Cotas Subordinadas Mezanino do · Sênior: termos econômicos não identificados
01/09/2025 · Cotas SubordinadasMezanino do · Mezanino: termos econômicos não identificados
28/04/2026 · Cotas Seniores do Fundo · Sênior: R$ 500 mm; Rem DI + 2,10% a.a.
11/05/2026 · Classe/série não identificada: R$ 180 mm
11/05/2026 · Classe/série não identificada: R$ 500 mm"
Remuneração-alvo por emissão detectada,"19/07/2021 · 1ª Série: DI + 4,25%
28/04/2026 · Cotas Seniores do Fundo · Sênior: DI + 2,10% a.a."
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,01/09/2025 · 2025
Alocação mínima em DCs,—
Subordinação mínima,>= 30%; 30%
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,—
Limite de recompra,">= 5,00%"
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,<= 30%; <= 7%; <= 10%; 30%; +1
Hedges permitidos,—
Cross default do cedente,—
Troca de gestor/administrador,"texto; Regra textual de troca/substituição de administrador, gestor ou prestador-chave."
Critérios de elegibilidade,"<=; >= 5,00%; >=; Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte."
