termo_canonico,aliases_grafias,categoria,definicao_proposta,tipo_afirmacao,fundos_com_evidencia,denominador_documentacao_suficiente,frequencia_equal_weight,frequencia_ponderada_pl,familias_economicas_independentes,administradores_distintos,gestores_distintos,segmentos_oficiais,cnpjs_com_evidencia,exclui_fic_fidc,escopo_calculo,status
critérios de elegibilidade explícitos,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,15,15,1.0,1.0,12,9,12,Cartão de crédito;Comercial;Financeiro;Industrial;Serviços;Setor público,09195235000150;26286939000158;26287464000114;28169275000172;29225241000110;42922136000107;50906397000153;52242420000188;52610624000124;53216449000158;53263761000100;53286499000101;62393679000183;63700113000110;63953619000130,True,prevalência contratual no denominador substantivo,expandir
linguagem explícita de concentração,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,14,15,0.9333333333333333,0.6855923165027314,11,8,11,Cartão de crédito;Comercial;Financeiro;Serviços;Setor público,26286939000158;26287464000114;28169275000172;29225241000110;42922136000107;50906397000153;52242420000188;52610624000124;53216449000158;53263761000100;53286499000101;62393679000183;63700113000110;63953619000130,True,prevalência contratual no denominador substantivo,expandir
ordem de aplicação ou alocação de recursos,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,15,15,1.0,1.0,12,9,12,Cartão de crédito;Comercial;Financeiro;Industrial;Serviços;Setor público,09195235000150;26286939000158;26287464000114;28169275000172;29225241000110;42922136000107;50906397000153;52242420000188;52610624000124;53216449000158;53263761000100;53286499000101;62393679000183;63700113000110;63953619000130,True,prevalência contratual no denominador substantivo,corrigir
estrutura subordinada efetiva,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,6,15,0.4,0.40810593010619284,6,5,5,Cartão de crédito;Comercial;Serviços,26286939000158;26287464000114;28169275000172;52610624000124;62393679000183;63953619000130,True,prevalência contratual no denominador substantivo,corrigir
reserva nominada,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,10,15,0.6666666666666666,0.5402775122217567,9,7,9,Cartão de crédito;Comercial;Financeiro;Serviços;Setor público,26286939000158;26287464000114;28169275000172;29225241000110;42922136000107;52610624000124;53216449000158;53263761000100;62393679000183;63953619000130,True,prevalência contratual no denominador substantivo,expandir
revolvência ou reinvestimento autorizado,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,11,15,0.7333333333333333,0.569530358751262,9,7,9,Cartão de crédito;Comercial;Financeiro;Serviços;Setor público,26287464000114;28169275000172;29225241000110;42922136000107;50906397000153;52242420000188;53216449000158;53263761000100;62393679000183;63700113000110;63953619000130,True,prevalência contratual no denominador substantivo,novo
ramp-up contratualmente definido,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,1,15,0.06666666666666667,0.05159801331995545,1,1,1,Cartão de crédito,62393679000183,True,prevalência contratual no denominador substantivo,idiossincrático
evento de avaliação separado,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,14,15,0.9333333333333333,0.9702082448932812,11,9,12,Cartão de crédito;Comercial;Financeiro;Industrial;Serviços,09195235000150;26286939000158;26287464000114;28169275000172;42922136000107;50906397000153;52242420000188;52610624000124;53216449000158;53263761000100;53286499000101;62393679000183;63700113000110;63953619000130,True,prevalência contratual no denominador substantivo,corrigir
evento de liquidação,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,15,15,1.0,1.0,12,9,12,Cartão de crédito;Comercial;Financeiro;Industrial;Serviços;Setor público,09195235000150;26286939000158;26287464000114;28169275000172;29225241000110;42922136000107;50906397000153;52242420000188;52610624000124;53216449000158;53263761000100;53286499000101;62393679000183;63700113000110;63953619000130,True,prevalência contratual no denominador substantivo,corrigir
cessão ou endosso estritamente sem regresso/coobrigação,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,5,15,0.3333333333333333,0.34422819959276246,5,5,5,Cartão de crédito;Comercial;Financeiro,26286939000158;26287464000114;28169275000172;42922136000107;63953619000130,True,prevalência contratual no denominador substantivo,expandir
dever positivo de verificação de lastro,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,12,15,0.8,0.6118454279601984,10,7,9,Cartão de crédito;Comercial;Financeiro;Serviços;Setor público,26286939000158;26287464000114;28169275000172;29225241000110;42922136000107;50906397000153;52242420000188;52610624000124;53216449000158;53263761000100;62393679000183;63953619000130,True,prevalência contratual no denominador substantivo,corrigir
dispensa ou não incidência de verificação de lastro,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,prática contratual,3,15,0.2,0.3881545720398018,2,2,3,Financeiro;Industrial;Serviços,09195235000150;53286499000101;63700113000110,True,prevalência contratual no denominador substantivo,novo
