veiculo_id,nome_contratual,regime,gatilho_de_mudanca_para_sequencial,quem_recebe_juros_antes_de_principal,super_senior_prioridade,senior_prioridade,mezanino_prioridade,subordinado_prioridade,subordinado_jr_prioridade,cash_sweep,reserva_de_despesas,reserva_de_juros,reserva_MTM,reserva_para_resgate_antecipado,condicionalidade,fonte_id,status
CRI-II,Ordem de Alocação de Recursos (cl. 6.5 do Termo de Securitização),Pró-rata condicionado por Razões de Cobertura até o mês 47; sequencial a partir do mês 48 ou por Evento de Desalavancagem,Mês 48 (inclusive) ou ocorrência de Evento de Desalavancagem,"Sim - em cada camada, Remuneração é paga antes da Amortização da mesma camada",1 (sem condição de cobertura),2 (exige Razão de Cobertura Super Sênior enquadrada),3 (exige Cobertura Super Sênior e Sênior),"4 (exige Cobertura Super Sênior, Sênior e Mezanino)",5 (exige as quatro Razões de Cobertura e saldo acima do Target); recebe o Prêmio Final após o resgate das quatro séries públicas,Sim - item (aa): amortização extraordinária proporcional entre as séries com Razão de Cobertura enquadrada,Sim - item (b),Sim - Encargos Moratórios e Remuneração vencida e não paga tem prioridade sobre a amortização,n/d,"Sim - constituída a partir de 98% amortizado, por série",Toda amortização é condicionada a 'caso exista disponibilidade' e ao limite do caixa disponível,ANX-TS2-K2,Documentado
CRI-I,Ordem de Alocação de Recursos (Termo de Securitização),Targets por camada (54/15/18/5/8 segundo o deck); sequencial em eventos,n/d,Sim,1,2,3,4,5,n/d,Sim,n/d,n/d,n/d,Amortização condicionada a disponibilidade e a Ordem de Alocação de Recursos,ANX-DECK; ANX-PRO-K1,Documentado
CRI-III,Ordem de Alocação de Recursos (Termo de Securitização),Pró-rata condicionado até o mês 47; sequencial a partir do mês 48,Mês 48 ou eventos,Sim,1,2,3,4,5,n/d,Sim,n/d,n/d,Sim - Resgate Antecipado Obrigatório previsto,Amortização condicionada a disponibilidade e a Ordem de Alocação de Recursos; cronograma no Anexo I,ANX-LAM-K3; ANX-DECK,Documentado
CRI-IV,Ordem de Alocação de Recursos (Termo de Securitização),Pró-rata condicionado até o mês 47; sequencial a partir do mês 48,Mês 48 ou eventos,Sim,1,2,3,4,5,n/d,Sim,n/d,n/d,n/d,Amortização condicionada a disponibilidade e a Ordem de Alocação de Recursos,ANX-DECK,Documentado
CRI-V,Ordem de Alocação de Recursos (Termo de Securitização),Pró-rata condicionado até o mês 47; sequencial a partir do mês 48,Mês 48 ou eventos,Sim,1,2,3,4,5,n/d,Sim,n/d,n/d,Sim - resgate compulsório quando 98% do VNU amortizado e ha recursos suficientes,"'Ressalvadas as hipóteses de Resgate Antecipado Obrigatório, caso exista disponibilidade, o saldo do Valor Nominal Unitário será amortizado nas Datas de Pagamento indicadas no cronograma do Anexo I, observadas as regras da Ordem de Alocação de Recursos' - redação repetida para as cinco séries",ANX-LAM-V174,Documentado
CRI-VI,Ordem de Alocação de Recursos (Termo de Securitização),Pró-rata condicionado até o mês 47; sequencial a partir do mês 48,Mês 48 ou eventos,n/d,1,2,3,4,5,n/d,n/d,n/d,n/d,n/d,Amortização condicionada a disponibilidade,ANX-DECK,Documentado
FIDC-I,Ordem de aplicação de recursos do regulamento,Hibrido por metas,Liquidação e eventos,n/d,1,n/a,2,n/a,3,n/d,n/d,n/d,n/d,n/d,Sujeito aos testes do regulamento vigente,ANX-DECK,Documentado
FIDC-II,Ordem de aplicação de recursos do regulamento,Metas até o mês 59,Mês 60 e eventos,n/d,1,n/a,2,n/a,3,n/d,n/d,n/d,n/d,n/d,Sujeito aos testes do regulamento vigente,ANX-DECK,Documentado
FIDC-III,Ordem de aplicação de recursos do regulamento,Pró-rata até o mês 47,Mês 48 e eventos,n/d,1,n/a,2,n/a,3,n/d,n/d,n/d,n/d,n/d,Sujeito aos testes do regulamento vigente,ANX-DECK,Documentado
FIDC-IV,Ordem de aplicação de recursos do regulamento,Prioridade por classe,Eventos e liquidação,n/d,1,n/a,2,n/a,3,n/d,n/d,n/d,n/d,n/d,Regra pública incompleta no acervo,ANX-DECK,Documentado
FIDC-V,Ordem de aplicação de recursos do regulamento,Metas por classe,Eventos e liquidação,n/d,1,n/a,2,n/a,3,n/d,n/d,n/d,n/d,n/d,Sujeito aos testes do regulamento vigente,ANX-DECK,Documentado
FIDC-VI,Ordem de aplicação de recursos do regulamento,Pró-rata condicionado,Eventos; 6 datas sequenciais aceleram até aceleração definitiva,n/d,1,n/a,2 (Mezz A) e 3 (Mezz B),n/a,4,n/d,n/d,n/d,Sim - reserva de MTM prevista,n/d,Júnior recebe apenas por amortização extraordinária e sob testes,ANX-DECK,Documentado
FIDC-VII,Ordem de aplicação de recursos do regulamento,Revolvência obrigatória de 12 meses; pró-rata condicionado depois,Eventos; 6 datas sequenciais aceleram até aceleração definitiva,n/d,1,n/a,2 (Mezz A) e 3 (Mezz B),n/a,4,n/d,n/d,n/d,Sim - reserva prévia de MTM; venda vedada se o MTM superar a júnior,n/d,"Júnior recebe apenas por amortização extraordinária, sob testes e com trava de 3 meses após Evento de Venda",ANX-DECK,Documentado
