feature_key,label,type,why_it_matters,evidence_source,extraction_prompt
asset_class_confirmed,Lastro/setor confirmado no regulamento,tem_nao_tem,Evita classificar apenas por nome do fundo ou metadado genérico.,"Regulamento, anexo descritivo, suplemento da emissão, ata de constituição.","O documento descreve explicitamente os direitos creditórios elegíveis, origem, cedentes e devedores?"
named_originator_or_cedente,Cedente/originador nomeado,tem_nao_tem,"Distingue mono-originador, plataforma, multicedente e risco de concentração operacional.","Definições de Cedente, Originador, Consultora, Política de Aquisição.","Há cedente(s), originador(es), consultora(s) ou plataforma(s) explicitamente nomeados?"
named_debtor_or_sacado,Sacado/devedor nomeado,tem_nao_tem,"Identifica risco sacado, bancos emissores, devedor concentrado e estruturas pulverizadas.","Definições de Devedor, Sacado, Comprador, Arranjo de Pagamento, anexos.","Há sacado(s), devedor(es), bancos emissores, convênios ou entes públicos nomeados?"
monocedente_or_multicedente,Mono/multicedente determinado,categorical,É uma das primeiras segmentações de risco e governança de originação.,"Política de investimento, critérios de elegibilidade, limites de concentração.","Classifique como monocedente, multicedente, plataforma, FIC/alocador ou indeterminado."
concentrated_or_pulverized_debtors,Sacados/devedores concentrados ou pulverizados,categorical,Permite comparar subordinação e eventos de inadimplência dentro de universos comparáveis.,"Tipo_lastro CVM, concentração por devedor/sacado, limites e anexos.","Classifique devedores como concentrado, pulverizado ou indeterminado."
revolving_period,Tem período revolvente,tem_nao_tem,"Revolvência muda risco de seleção, elegibilidade e substituição de carteira.","Capítulos de aquisição, amortização, eventos de avaliação e período de carência.",O fundo pode comprar novos direitos creditórios durante a vida das cotas?
subordination_minimum,Tem subordinação mínima ou razão de garantia,numeric_percent_and_tem_nao_tem,É o principal parâmetro de proteção por tipo de FIDC.,"Razão de subordinação, razão de garantia, índice de cobertura.","Extraia percentuais e diga se são júnior/PL, sub total/PL, cobertura sênior ou outro."
mezzanine_layer,Tem cota mezanino,tem_nao_tem,"Afeta waterfall, interpretação da subordinação e preço por tranche.","Capítulo de cotas, suplementos, ata de emissão.",Há classe/cota/série mezanino em circulação ou prevista?
cash_or_liquidity_reserve,Tem reserva de caixa/liquidez,numeric_percent_or_formula,Padrão operacional importante para comparar pagamento de juros/amortização.,"Reserva de Caixa, Reserva de Liquidez, Reserva de Despesas, Reserva de Amortização.","Extraia fórmula, percentual, gatilho de recomposição e uso dos recursos."
repurchase_or_indemnity,Tem recompra/substituição/indenização,tem_nao_tem,"Mostra mitigação de elegibilidade, fraude, vício de lastro e inadimplência inicial.","Condições de cessão, recompra obrigatória, substituição, indenização.",Há obrigação ou faculdade de recompra/substituição/indenização por cedente/originador?
eligibility_criteria,Tem critérios de elegibilidade objetivos,tem_nao_tem_and_text,Base para comparar underwriting por tipo de fundo.,"Critérios de Elegibilidade, Condições de Cessão.","Liste critérios objetivos de prazo, documentação, atraso, concentração, garantias e formalização."
concentration_limits,Tem limites de concentração,tem_nao_tem_and_numeric,É uma prática comum que varia fortemente por setor.,"Limites por cedente, sacado, devedor, grupo econômico, convênio, produto.",Extraia os limites percentuais por cedente/sacado/devedor/grupo econômico.
default_or_performance_triggers,Tem gatilhos de inadimplência/performance,tem_nao_tem_and_numeric,Permite comparar padrões de liquidação/amortização acelerada.,"Eventos de Avaliação, Eventos de Liquidação, Índices de Inadimplência.","Extraia eventos por atraso, PDD, over 30/60/90, recompra, renegociação ou perda."
rating_required,Tem rating obrigatório,tem_nao_tem,"Importante para oferta pública, governança e comparabilidade de senioridade.","Suplementos, anúncios, capítulo de cotas e obrigações periódicas.","O regulamento ou suplemento exige rating inicial, manutenção ou revisão periódica?"
derivatives_allowed,Derivativos permitidos,categorical,"Distingue hedge permitido, vedação e exposição adicional.",Política de investimento e vedações.,"Classifique como vedado, hedge apenas, permitido com limite, ou amplo."
amortization_profile,Perfil de amortização definido,categorical,Conecta preço da emissão com duration e risco de refinanciamento.,"Suplemento da série/classe, cronograma de amortização e resgate.","Classifique como bullet, amortização programada, pass-through, revolvente+amortização, residual."
