veiculo_id,instrumento,como_a_subordinada_recebe,gatilho_ou_teste,quorum,trava_temporal,pode_ser_fonte_de_caixa_do_originador,evidencia_documental,fonte_id,status
CRI-II,CRI,"Automático na Data de Pagamento, até o Saldo Devedor Target; e Prêmio Final ao fim",As quatro Razões de Cobertura enquadradas (159/123/110/105%) e saldo acima do Target,Não há - não depende de deliberação,Carência do Anexo I: a 5ª série só começa a receber no 13º pagamento (07/07/2025),"Sim - a série é subscrita integralmente pela Solfácil e recebe caixa antes do vencimento das séries públicas, desde que as coberturas estejam enquadradas","Cl. 6.5.1, itens (y), (z) e (bb) do Termo consolidado",ANX-TS2-K2,Documentado
CRI-VI,CRI,"Automático na Data de Pagamento, até o Saldo Devedor Target; e Prêmio Final ao fim","As três Razões de Cobertura enquadradas (120,48/109,89/105,26%) e saldo acima do Target",Não há - não depende de deliberação,Reserva de Caixa Derivativo é constituída antes do pagamento à 5ª série,"Sim - mesma mecânica de CRI-II, com a diferença de que o diferencial do swap, positivo ou negativo, impacta a remuneração da própria 5ª série","Cl. 7.5.1, itens (r), (s) e (u); cl. 15.14.6 item 7 e cl. 15.14.8 item 3",ANX-TS-V177,Documentado
CRI-I,CRI,"Automático, por targets por camada",Targets do Termo de Securitização,Não há,n/d,Sim - estrutura equivalente à das demais emissões Kanastra,Termo de Securitização da 1ª emissão não está no acervo; estrutura de targets descrita na análise de crédito,ANX-DECK,Inferido - Termo ausente
CRI-III,CRI,"Automático, pró-rata condicionado até o mês 47",Razões de Cobertura,Não há,n/d,Sim - estrutura equivalente,Termo de Securitização da 3ª emissão não está no acervo,ANX-DECK,Inferido - Termo ausente
CRI-IV,CRI,"Automático, pró-rata condicionado até o mês 47",Razões de Cobertura,Não há,n/d,Sim - estrutura equivalente,Termo de Securitização da 4ª emissão não está no acervo,ANX-DECK,Inferido - Termo ausente
CRI-V,CRI,"Automático, pró-rata condicionado até o mês 47",Razões de Cobertura,Não há,n/d,Sim - estrutura equivalente,Termo de Securitização da 174ª emissão não está no acervo,ANX-DECK; ANX-LAM-V174,Inferido - Termo ausente
FIDC-VI,FIDC,"Amortização extraordinária, mediante pedido dos cotistas da classe júnior","Subordinação e cobertura pro forma, reserva de MTM constituída e ausência de eventos; patamares de 136,0% / 113,3% / 106,3%",75% dos titulares da classe júnior,Não há trava pós-venda,"Sim - R$ 183,2 mi de principal júnior e mezanino já saíram do fundo","Regulamento vigente, conforme a análise de crédito de 21/08/2026",ANX-DECK,Documentado - regulamento não está no acervo
FIDC-VII,FIDC,"Amortização extraordinária, mediante pedido dos cotistas da classe júnior",Mesmos testes do FIDC VI,75% dos titulares da classe júnior,Bloqueio de 3 meses após Evento de Venda; venda vedada se o MTM superar a júnior,"Sim - R$ 7,7 mi já saíram em julho de 2026, no primeiro mês de operação com take-out","Regulamento vigente, conforme a análise de crédito de 21/08/2026",ANX-DECK,Documentado - regulamento não está no acervo
FIDC-I,FIDC,Amortização extraordinária sob testes do regulamento,"Pisos de subordinação, cobertura e ausência de evento; piso total de 25%",n/d,Limites do regulamento vigente,"Sim - R$ 130,4 mi já saíram",Regulamento não está no acervo,ANX-DECK,Documentado - regulamento não está no acervo
FIDC-II,FIDC,Amortização extraordinária sob testes do regulamento,"Metas, índices e liquidez pro forma; piso total de 20%",n/d,"Antes do regime sequencial, se enquadrado","Sim - R$ 160,8 mi já saíram",Regulamento não está no acervo,ANX-DECK,Documentado - regulamento não está no acervo
FIDC-III,FIDC,Amortização extraordinária sob testes do regulamento,"Subordinação, cobertura e ausência de evento; piso total de 25%",n/d,Pró-rata vigente,"Sim - R$ 101,4 mi já saíram",Regulamento não está no acervo,ANX-DECK,Documentado - regulamento não está no acervo
FIDC-IV,FIDC,Regra pública incompleta,não disponível nos documentos,n/d,n/d,"Sim - R$ 438,9 mi já saíram, o maior volume do programa, e o fundo ficou sem first loss",Regulamento não está no acervo e a análise de crédito registra a regra como incompleta,ANX-DECK,não disponível
FIDC-V,FIDC,Amortização extraordinária sob testes do regulamento,"Índices, caixa e ausência de evento; piso total de 20%",n/d,Limites do regulamento vigente,"Sim - R$ 34,4 mi já saíram",Regulamento não está no acervo,ANX-DECK,Documentado - regulamento não está no acervo
DEB-I,Debênture,A 2ª série é subordinada à 1ª no recebimento de todos e quaisquer valores,Subordinação contratual integral; a 2ª série não recebe antes da 1ª,Não há,n/d,"Não antes da 1ª série - em 31/07/2026 o total distribuído aos investidores da 2ª série é R$ 0,00",Cl. 3.3.2 e 3.3.3 da escritura; tabela de dados das séries do relatório mensal,ANX-ESC-DEB; ANX-RMA-DEB,Documentado
