tema,fonte,url,arquivo_local,uso
"PL, segmentos, administradores e cotistas",CVM - Informe Mensal de FIDC,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,vehicle_monthly.csv.gz | industry_monthly.csv | industry_fund_snapshot.csv.gz,"universo mensal, PL, recebível dominante, administração e número de cotistas"
Gestão e custódia atuais,CVM - Cadastro de Fundos,https://dados.cvm.gov.br/dataset/fi-cad,role_market_share_delta.csv,foto cadastral atual por gestor e custodiante
Histórico datado de gestão e custódia,CVM - Cadastro histórico de Fundos,https://dados.cvm.gov.br/dataset/fi-cad,cad_fi_hist.zip | role_historical_coverage_2023_2026.csv,medir cobertura histórica e bloquear deltas abaixo de 80% do PL
Ofertas e prestadores,CVM - Ofertas Públicas de Distribuição,https://dados.cvm.gov.br/dataset/oferta-distrib,oferta_resolucao_160.csv | cvm_r160_offer_role_share_annual.csv,"ofertas primárias encerradas, teto registrado e papéis declarados; atualização diária"
Classes de FIDC,ANBIMA - Diretriz de Classificação do FIDC nº 09,https://www.anbima.com.br/data/files/85/40/8F/2D/79E386106416A38678A80AC2/Diretrizes_e_deliberacoes_do_Codigo_de_Administracao_de_Recursos_de_terceiros.pdf,anbima_class_definitions.csv,denominações e focos oficiais; macro-mapeamento analítico dos informes CVM
Cobertura documental,Documentos públicos CVM/Fundos.NET curados localmente,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM,document_universe_funnel.csv,medir cobertura e impedir publicação de rankings não censitários
Referência de conteúdo,Industria_FIDC_2026053.pptx - Clodo Couto,local,/Users/matheusjprates/Downloads/Industria_FIDC_2026053.pptx,"taxonomia, gráfico 100% empilhado e encadeamento; números reprocessados"
Captação pública de FIDC 2023,ANBIMA - fechamento de 2023,https://www.anbima.com.br/pt_br/noticias/ofertas-no-mercado-de-capitais-chegam-a-r-463-7-bilhoes-em-2023.htm,anbima_public_issuance_yearly.csv,volume anual publicado em 2024-01-18; vintage preservado
Captação pública de FIDC 2024,ANBIMA - coletiva de mercado de capitais 2024,https://www.anbima.com.br/data/files/56/66/80/A5/DAE849109036A849B82BA2A8/Coletiva_MercadodeCapitais_2024_apresentacao.pdf,anbima_public_issuance_yearly.csv,volume anual publicado em 2025-01; vintage preservado
Captação pública de FIDC 2025,ANBIMA - fechamento de 2025,https://www.anbima.com.br/pt_br/imprensa/ofertas-no-mercado-de-capitais-atingem-r-838-8-bilhoes-e-batem-recorde-em-2025.htm,anbima_public_issuance_yearly.csv,volume anual publicado em 2026-01-22; vintage preservado
Classificação de cartão - CloudWalk Bela FIDC,"Fundos.NET - Regulamento de 19/02/2026, item 1.7",https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117954,card_receivables_classification_audit.csv,"classe explícita: Agro, Indústria e Comércio - Recebíveis Comerciais"
Classificação de cartão - CloudWalk PI FIDC,"Fundos.NET - Regulamento de 04/09/2025, item 1.7",https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993687,card_receivables_classification_audit.csv,"classe explícita: Agro, Indústria e Comércio - Recebíveis Comerciais"
Classificação de cartão - CloudWalk Akira II FIDC,"Fundos.NET - Regulamento de 28/02/2025, item 1.10",https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=851798,card_receivables_classification_audit.csv,"classe explícita: Agro, Indústria e Comércio - Recebíveis Comerciais"
Classificação de cartão - Tapso FIDC,Fundos.NET - Regulamento público: lastro em recebíveis Stone/Pagar.me,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=726965,card_receivables_classification_audit.csv,classe indeterminada: Não localizada no regulamento público consultado
Classificação de cartão - PagSeguro I FIDC,"Fundos.NET - Regulamento de 25/03/2026, item 3.4",https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1149521,card_receivables_classification_audit.csv,classe explícita: Outros - Multicarteira Outros
