id,campo_em_conflito,valor_fonte_A,fonte_A,data_base_A,valor_fonte_B,fonte_B,data_base_B,decisao_adotada,justificativa,conflito
C1,Total de séries do programa de CRI,34 séries em seis operações,ANX-DECK (sl.9 e sl.20),2026-08-21,"27 séries se CRI-I e CRI-II forem contados como 4 séries cada, conforme os anúncios de oferta",ANX-ENC-K1 ('de 4 (quatro) séries'); ANX-INI-K4 ('de 6 (seis) séries'),2024-02-23 e 2025-09-29,34 séries - o deck esta correto e não há divergência real,"Os anúncios de oferta contam apenas as séries de distribuição pública. A lâmina de CRI-I diz textualmente '1ª Emissão, em 5 (cinco) séries, sendo 1 para colocação privada e 4 para colocação pública', e o título do Termo de Securitização de CRI-IV diz 'em 7 (Sete) Séries, sendo 1 (Uma) Série para Colocação Privada e 6 (Seis) Séries para Distribuição Pública'. Somando a série privada de cada operação: 5+5+6+7+6+5 = 34. A hipótese de que a VERT 177ª precisaria ter 7 séries para fechar a conta esta descartada - ela tem 5.",não
C2,Número de séries e volume da 4ª emissão Kanastra (CRI-IV),"7 séries e R$ 450,0 mi",ANX-DECK (sl.9),2026-08-21,"6 séries públicas e R$ 436,5 mi",ANX-INI-K4,2025-09-29,"7 séries e R$ 450,0 mi no total, dos quais 6 séries e R$ 436,5 mi públicos e 1 série e R$ 13,5 mi privados","Não é divergência, é perímetro. O próprio Anúncio de Início cita o Termo de Securitização 'em 7 (Sete) Séries, sendo 1 (Uma) Série para Colocação Privada'. R$ 436,5 mi + R$ 13,5 mi = R$ 450,0 mi. As duas colunas ficam separadas em 02_Series.",não
C3,Datas da 2ª emissão Kanastra (CRI-II),Bookbuilding em 20/06/2024,ANX-CM-K2,2024-06-20,Data de emissão em 25/06/2024,ANX-DECK (sl.9); ANX-PRO-K2,2024-06-25,As duas datas são mantidas em colunas separadas: data_bookbuilding e data_inicio_ou_emissao,São eventos distintos do mesmo processo - a apuração de taxas e quantidades precede a emissão em cinco dias. Nenhuma das duas é erro da outra.,não
C4,Volume da 3ª emissão Kanastra (CRI-III),"Até 582.000 CRI / R$ 582,0 mi de lote base, com lote adicional de até 25% (R$ 145,5 mi)",ANX-LAM-K3,2025-04-22,"R$ 727,5 mi públicos e R$ 750,0 mi no total",ANX-DECK (sl.20),2026-08-21,"Lote base de R$ 582,0 mi e volume reportado de R$ 727,5 mi ficam em colunas distintas; o lote adicional de 25% foi integralmente exercido","582.000 x 1,25 = 727.500 exatamente, o que confirma o exercício integral do lote adicional. Como o Anúncio de Encerramento da 3ª emissão não está no acervo, a coluna montante_subscrito permanece n/d e o valor do deck fica na coluna montante_reportado_deck.",sim
C5,Volume da 174ª emissão VERT (CRI-V),"Até 727.500 CRI / R$ 727,5 mi de lote base, sem lote suplementar nem adicional",ANX-LAM-V174,2026-04-17,"R$ 456,5 mi públicos e R$ 470,6 mi no total",ANX-DECK (sl.20 e sl.33),2026-08-21,"Lote base de R$ 727,5 mi e volume reportado de R$ 470,6 mi ficam em colunas distintas","Ao contrario de CRI-III, aqui a operação colocou bem menos que o teto: R$ 456,5 mi de séries públicas contra um lote base de R$ 727,5 mi, ou 62,7%. Sem Anúncio de Encerramento no acervo, montante_subscrito permanece n/d.",sim
C6,Cap de concentração por devedor,"0,10% do Patrimônio Separado (CRI-III); 0,15% caindo a 0,07% (CRI-V)",ANX-LAM-K3; ANX-LAM-V174,2025-04-22 e 2026-04-17,Máximo de 20% dos créditos por um único devedor,ANX-CM-K2 (classificação ANBIMA),2024-06-20,"Os três números são tabulados lado a lado, sem conciliação",Medem coisas diferentes: o cap contratual limita a exposição a um devedor dentro do Patrimônio Separado; o limite ANBIMA é critério de classificação de mercado para chamar a operação de 'Pulverizada'. Estão a duas ordens de grandeza de distância e o que morde é o contratual.,não
C7,Número de séries da 1ª emissão Kanastra (CRI-I),4 séries,ANX-ENC-K1 (título e item 2),2024-02-23,"5 séries, sendo 1 privada e 4 públicas",ANX-LAM-K1 (item a.1),2024-01-15,"5 séries, das quais 4 públicas","A lâmina descreve a emissão completa; o anúncio de encerramento só encerra a oferta pública. A 5ª série e subscrita integralmente pela Solfácil e/ou partes relacionadas, sem esforço de venda, e por isso não entra no registro da oferta.",sim
C8,Prazo de referência usado no descasamento,Duration de 659 a 713 dias corridos (CRI-V),ANX-LAM-V174,2026-04-17,Duration de 1.806 a 3.632 dias corridos (CRI-III) e de 1.146 a 1.311 dias (CRI-I),ANX-LAM-K3; ANX-LAM-K1,2025-04-22 e 2024-01-15,"As durations são registradas série a série, sem média entre operações",A duration curta não e característica do programa: e característica de CRI-V. A mesma camada Mezanino tem duration de 3.632 dias em CRI-III e de 690 dias em CRI-V. Tratar '660 a 713 dias' como o padrão do programa seria erro material.,sim
C9,Contagem de 34 em duas dimensões diferentes,34 séries de CRI em seis operações,ANX-DECK (sl.9),2026-08-21,34 séries/subclasses de cotas emitidas pelos sete FIDCs,ANX-DECK (sl.8 e sl.28-30),2026-08-21,Os dois números são mantidos e rotulados separadamente,Coincidência numérica sem relação causal. 02_Series traz 70 linhas: 34 séries de CRI e 34 classes de cotas de FIDC. Confundir as duas contagens produziria dupla contagem do programa.,não
C10,Completude do universo na data-base,7 FIDCs e 6 operações de CRI; nenhum fundo >= VIII localizado em 31/07/2026,ANX-DECK (sl.7),2026-07-31,Verificação independente no cadastro CVM e em Fundos.NET não foi possível nesta sessão,BUSCA-FIDC8; BUSCA-CRI7,2026-08-22,"Universo mantido em 7 FIDCs e 6 CRIs, com a limitação registrada","A ausência de FIDC VIII e de CRI posterior a 31/07/2026 está apoiada apenas na verificação do deck, de 21/08/2026. Sem acesso a rede nesta sessão, a confirmação independente fica pendente e é o primeiro item da lista de lacunas.",sim
C11,Data de vencimento da 1ª série da debênture,18/02/2033 - 132 meses contados da data de emissão,ANX-ESC-DEB (cl. 3.6.5),2022-02-18,18/08/2035 - mesma data da 2ª série,ANX-RMA-DEB (tabela de dados gerais das séries),2026-07-31,"18/02/2033, conforme a escritura","A escritura é o documento constitutivo e fixa prazos distintos para as duas séries: 132 meses para a 1ª e 162 para a 2ª. O relatório mensal repete 18/08/2035 nas duas linhas, o que é consistente com o campo de vencimento da emissão, e não da série. A data da escritura prevalece.",sim
C12,Perímetro do universo de veículos,Sete FIDCs e seis operações de CRI,Escopo do trabalho e ANX-DECK,2026-08-21,"Existe ainda uma emissão de debêntures da Amazônia Solar, de 18/02/2022, lastreada em CCBs originadas pela Solfácil, e a análise de crédito menciona uma segunda operação de debêntures (SFCL11/21/31/41, R$ 150 mi)",ANX-ESC-DEB; ANX-RMA-DEB; ANX-DECK,2026-07-31,"Universo ampliado para 14 veículos: 7 FIDCs, 6 CRIs e 1 debênture; a segunda operação de debêntures fica registrada como lacuna","A debênture da Amazônia Solar entrou no perímetro porque tem documento primário no acervo e financia o mesmo ativo, originado pela mesma empresa. As debêntures SFCL não entraram: não há documento no acervo, apenas a menção de R$ 150 mi na análise de crédito. Registrá-las como lacuna é mais honesto do que estimar.",sim
C13,Montante por série da 177ª emissão VERT (CRI-VI),"n/d por série; total de R$ 647,1 mi",ANX-DECK,2026-08-21,"Sênior A R$ 100,0 mi; Sênior B R$ 450,0 mi; Mezanino I R$ 51,765 mi; Mezanino II R$ 25,882 mi; Subordinado R$ 19,412 mi; total de R$ 647,059 mi",ANX-TS-V177 (cl. 5.6.4 e 5.6.6),2026-07-20,"Os valores do Termo de Securitização, que fecham em R$ 647,059 mi","O Termo de Securitização resolve a última lacuna de montante do programa: com ele, todas as 34 séries de CRI passam a ter valor documentado e a soma fecha em R$ 3.670,64 mi. O deck arredondava para R$ 647,1 mi.",não
