veiculo_id,camada,serie,isin,data_emissao,data_vencimento,prazo_meses,quantidade_ofertada_lote_base,quantidade_subscrita,valor_nominal_unitario_R,montante_ofertado_Rmi,montante_subscrito_Rmi,montante_reportado_deck_Rmi,pct_da_emissao,indexador,taxa_teto_lamina,taxa_piso_lamina,taxa_contratada,perna_que_prevaleceu,duration_dias,pu_atual_R,rating_agencia,rating_nota,colocacao,retida_pelo_originador,data_base,fonte_id,status
CRI-I,Super Sênior,1a,BRKNSTCRI000,2024-01-15,2031-01-15,84,360000,360000,1000.00,360.0,360.0,360.0,59.7,Pré,"DI fut. mar/2026 + 1,50% a.a.","11,27% a.a.","11,51% a.a.",Perna DI (acima do piso),1246,n/d,Fitch Ratings,AA+,Pública,Não,2026-08-21,ANX-ENC-K1; ANX-LAM-K1; ANX-DECK,Documentado
CRI-I,Sênior,2a,BRKNSTCRI018,2024-01-15,2032-01-15,96,90000,90000,1000.00,90.0,90.0,90.0,14.9,Pré,"DI fut. mai/2026 + 2,60% a.a.","12,52% a.a.","12,74% a.a.",Perna DI (acima do piso),1295,n/d,Fitch Ratings,AA,Pública,Não,2026-08-21,ANX-ENC-K1; ANX-LAM-K1; ANX-DECK,Documentado
CRI-I,Mezanino,3a,BRKNSTCRI026,2024-01-15,2034-01-15,120,108000,108000,1000.00,108.0,108.0,108.0,17.9,Pré,"DI fut. jun/2026 + 6,00% a.a.","16,23% a.a.","16,48% a.a.",Perna DI (acima do piso),1311,n/d,n/d,n/d,Pública,Não,2026-08-21,ANX-ENC-K1; ANX-LAM-K1; ANX-DECK,Documentado
CRI-I,Subordinado,4a,BRKNSTCRI034,2024-01-15,2034-01-15,120,30000,30000,1000.00,30.0,30.0,30.0,5.0,Pré,"DI fut. set/2026 + 10,00% a.a.","20,65% a.a.","20,95% a.a.",Perna DI (acima do piso),1146,n/d,n/d,n/d,Pública,Não,2026-08-21,ANX-ENC-K1; ANX-LAM-K1; ANX-DECK,Documentado
CRI-I,Subordinado Jr.,5a,n/d,2024-01-15,2036-01-15,144,n/d,n/d,1000.00,n/d,n/d,15.0,2.5,Pré,n/a,n/a,"9,86% a.a.",n/a,n/d,n/d,n/d,n/d,Privada,Sim,2026-08-21,ANX-LAM-K1; ANX-DECK,Documentado
CRI-II,Super Sênior,1a,BRKNSTCRI059,2024-06-25,2029-06-07,60,n/d,487500,1000.00,n/d,n/d,487.5,65.0,Pré,n/d,n/d,"13,1926% a.a. (base 252)",n/d,n/d,452.73,Fitch Ratings; Moody's,AA+ (Fitch); AAA (Moody's),Pública,Não,2026-08-21,ANX-CM-K2; ANX-PRO-K2; ANX-DECK,Documentado
CRI-II,Sênior,2a,BRKNSTCRI067,2024-06-25,2032-06-07,96,n/d,135000,1000.00,n/d,n/d,135.0,18.0,Pré,n/d,n/d,"14,5663% a.a. (base 252)",n/d,n/d,471.27,Fitch Ratings; Moody's,A (Fitch); AA- (Moody's),Pública,Não,2026-08-21,ANX-CM-K2; ANX-PRO-K2; ANX-DECK,Documentado
CRI-II,Mezanino,3a,BRKNSTCRI075,2024-06-25,2034-06-07,120,n/d,75000,1000.00,n/d,n/d,75.0,10.0,DI+,n/d,n/d,"100% DI + 6,00% a.a. (base 252)",n/d,n/d,472.25,n/d,n/d,Pública,Não,2026-08-21,ANX-CM-K2; ANX-PRO-K2; ANX-DECK,Documentado
CRI-II,Subordinado,4a,BRKNSTCRI083,2024-06-25,2034-06-07,120,n/d,30000,1000.00,n/d,n/d,30.0,4.0,DI+,n/d,n/d,"100% DI + 10,00% a.a. (base 252)",n/d,n/d,472.95,n/d,n/d,Pública,Não,2026-08-21,ANX-CM-K2; ANX-PRO-K2; ANX-DECK,Documentado
CRI-II,Subordinado Jr.,5a,n/d,2024-06-25,2036-06-06,144,n/d,n/d,1000.00,n/d,n/d,22.5,3.0,Pré,n/a,n/a,"11,93% a.a.",n/a,n/d,784.73,n/d,n/d,Privada,Sim,2026-08-21,ANX-TS2-K2; ANX-DECK,Documentado
CRI-III,Super Sênior A,1a,BRKNSTCRI0A4,2025-05-28,2030-05-08,60,390000 (A+B por vasos comunicantes),367500,1000.00,390.0 (A+B),367.5,367.5,49.0,Pré,"DI fut. abr/2027 + 1,00% a.a.","15,50% a.a.","15,50% a.a.",Piso fixo (prevaleceu),1806,692.58,Moody's,AAA,Pública,Não,2026-08-21,ANX-LAM-K3; ANX-PRO-K3; ANX-DECK,Documentado
CRI-III,Super Sênior B,2a,BRKNSTCRI0B2,2025-05-28,2030-05-08,60,390000 (A+B por vasos comunicantes),120000,1000.00,390.0 (A+B),120.0,120.0,16.0,%DI,n/a,n/a,"105,50% do DI",n/a,1806,692.03,Moody's,AAA,Pública,Não,2026-08-21,ANX-LAM-K3; ANX-PRO-K3; ANX-DECK,Documentado
CRI-III,Sênior,3a,BRKNSTCRI0C0,2025-05-28,2033-05-06,96,108000,135000,1000.00,108.0,135.0,135.0,18.0,Pré,"DI fut. abr/2027 + 2,00% a.a.","16,50% a.a.","16,50% a.a.",Piso fixo (prevaleceu),2900,714.82,Moody's,AA-,Pública,Não,2026-08-21,ANX-LAM-K3; ANX-PRO-K3; ANX-DECK,Documentado
