termo,definicao,fonte_id,status,nota_metodo
Waterfall,"Ordem contratual de uso do caixa para despesas, juros e principal de cada camada.",METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Pró-rata,"Pagamento distribuído entre camadas conforme percentuais ou metas, condicionado aos testes.",METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Sequencial,Pagamento que quita primeiro a camada prioritária e só depois avança para a seguinte.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Attachment point,Parcela da carteira que absorve perda antes de a camada sênior começar a perder.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Efeito vagão,Regra que leva o atraso de uma parcela para a classificação do saldo integral do contrato.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Seasoning,Tempo mínimo de histórico do crédito antes de poder entrar na carteira.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Take-out,Transferência de créditos do veículo de estoque para uma emissão de prazo mais longo.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Warehouse,Veículo que acumula créditos antes da cessão ou securitização.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Cash sweep,Uso acelerado do caixa para reduzir principal quando um teste é descumprido.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
MTM,"Valor de mercado de uma posição, especialmente derivativos usados para proteção.",METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Cota subordinada,Cota que absorve perdas antes das cotas mais prioritárias.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Super sênior,Camada com primeira prioridade de pagamento e maior proteção estrutural.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Mezanino,Camada intermediária entre sênior e júnior na ordem de perdas e pagamentos.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
PDD,Redução contábil que reconhece perda esperada ou risco de não recuperação dos créditos.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
WAM,Prazo médio da carteira ponderado pelo saldo de cada recebível.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Revolvência,Período em que cobranças podem financiar novas aquisições em vez de amortizar cotas.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Desalavancagem,Mudança que acelera pagamento das camadas prioritárias após um gatilho.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Cessão,Transferência jurídica e econômica de créditos entre cedente e comprador.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Lastro,Conjunto de créditos que gera o caixa destinado ao pagamento da emissão.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
Preço de aquisição,Valor pago pelos créditos; um limite percentual não revela o preço efetivo praticado.,METH_COMPARACAO_FIDC_CRI,Documentado,Definição em português direto usada no workbook e no deck.
