veiculo_id,tipo,descricao_do_gatilho,parametro_numerico,consequencia_automatica,quorum_de_dispensa,prazo_de_cura,ja_ocorreu,data_da_ocorrencia,fonte_id,status
CRI-II,Desalavancagem,Índice de Atraso de Estoque desenquadrado em 3 Datas de Verificação consecutivas,Índice de Atraso de Estoque não pode superar 15%,Regime muda de pró-rata para Amortização Sequencial,Assembleia Especial de Titulares de CRI,n/d,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Desalavancagem,Rebaixamento de rating dos CRI Super Sênior e/ou Sênior,Queda de 2 níveis abaixo da classificação originalmente atribuída,Amortização Sequencial,Assembleia Especial de Titulares de CRI,n/d,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Desalavancagem,Não pagamento de remuneração ou amortização da 1ª série prevista no Anexo I,n/a,Amortização Sequencial,n/d,"5 Dias Uteis contados da Data de Pagamento, observada a carência",Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Desalavancagem,Não divulgação do Relatorio da Emissão no prazo,n/a,Amortização Sequencial,n/d,n/d,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Desalavancagem,Desenquadramento das Razões de Cobertura,2 Datas de Pagamento consecutivas ou 4 alternadas nos 12 meses anteriores,Amortização Sequencial,n/d,n/d,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Amortização Sequencial por prazo,Alcance do mês 48 da operação,Mês 48 (inclusive),Amortização Sequencial permanente até Evento de Realavancagem,n/d,n/d,Não,Prevista para 2028,ANX-TS2-K2,Documentado
CRI-II,Realavancagem,Reenquadramento do Índice de Atraso de Estoque,3 Datas de Verificação consecutivas dentro do limite,Retorno ao regime pró-rata,n/d,n/d,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Realavancagem,Regularizacao do pagamento da 1ª série,Pagamento regular em 3 Datas de Verificação consecutivas; se o evento persistir por 6 meses consecutivos a operação fica em sequencial permanente,"Retorno ao regime pró-rata, salvo o caso de 6 meses",Assembleia Especial para retomar o pró-rata,n/d,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Resgate Antecipado Obrigatório,Saldo do VNU da série igual ou inferior a 2% e recursos suficientes,2% do Valor Nominal Unitário,Resgate integral da série,n/d,n/d,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Substituição do Agente de Cobrança,Eventos Materiais Solfácil; impedimento de atuar; descumprimento do Contrato Operacional; resilição; condenação na Lei 12.846; crime contra a administração pública,n/a,Emissora assume como Backup Servicer e convoca Assembleia Especial,Assembleia Especial de Titulares de CRI,Prazo de cura específico do Contrato Operacional,Não,n/a,ANX-TS2-K2,Documentado
CRI-II,Recompra Obrigatória,Hipóteses do Contrato de Cessão,n/a,"Recompra ou compra dos Direitos Creditórios pelos Cedentes, Endossantes Iniciais, Solfácil ou Comprador Indicado",n/d,n/d,n/d,n/a,ANX-TS2-K2,Documentado
CRI-II,Vencimento Antecipado,Não aplicável,n/a,n/a,n/a,n/a,n/a,n/a,ANX-TS2-K2,Documentado: não aplicável
CRI-V,Resgate Antecipado Compulsório,Cumulativamente: (i) 98% do VNU da série amortizado e (ii) recursos suficientes para o resgate integral da série,98% do Valor Nominal Unitário,Resgate integral da série na Data de Pagamento,n/d,n/d,Não,n/a,ANX-LAM-V174,Documentado
CRI-V,Recompra Obrigatória,Hipóteses de recompra das Cedentes e/ou Endossante Inicial e/ou Solfácil previstas no Contrato de Cessão,n/a,Recompra dos Direitos Creditórios Cedidos,n/d,n/d,n/d,n/a,ANX-LAM-V174,Documentado
CRI-V,Vencimento Antecipado,Não aplicável - a lâmina registra 'N/A' no campo,n/a,n/a,n/a,n/a,n/a,n/a,ANX-LAM-V174,Documentado: não aplicável
CRI-III,Resgate Antecipado Obrigatório,"Na Data de Pagamento subsequente a Data de Verificação Amortização e Pagamento, nos termos do Termo de Securitização",n/d,Resgate da série,n/d,n/d,Não,n/a,ANX-LAM-K3,Documentado
CRI-III,Recompra Obrigatória,Hipóteses de recompra das Cedentes e/ou Endossante Inicial e/ou Solfácil previstas no Contrato de Cessão,n/a,Recompra dos Direitos Creditórios Cedidos,n/d,n/d,n/d,n/a,ANX-LAM-K3,Documentado
CRI-III,Vencimento Antecipado,Não aplicável - a lâmina registra 'N/A' no campo,n/a,n/a,n/a,n/a,n/a,n/a,ANX-LAM-K3,Documentado: não aplicável
CRI-I,Recompra Obrigatória,Hipóteses de recompra das Cedentes e/ou Endossante Inicial e/ou Solfácil previstas no Contrato de Cessão,n/a,Recompra dos Direitos Creditórios Cedidos,n/d,n/d,n/d,n/a,ANX-LAM-K1,Documentado
CRI-I,Governança,"Notificacoes formais registradas em 2026 pelo agente fiduciário, sem evidência pública de cura",n/a,n/d,n/d,n/d,Sim,2026,ANX-DECK,Documentado
FIDC-VI,Desalavancagem,Eventos de desalavancagem do regulamento; 6 datas sequenciais aceleram até aceleração definitiva,6 datas,Regime sequencial,n/d,n/d,n/d,n/a,ANX-DECK,Documentado
FIDC-VI,Rating,Rebaixamento da classificação de risco,Queda de 2 ou mais níveis,Evento de desalavancagem,n/d,n/d,Não,n/a,ANX-DECK,Documentado
FIDC-VII,Desalavancagem,Eventos de desalavancagem do regulamento; 6 datas sequenciais aceleram até aceleração definitiva,6 datas,Regime sequencial,n/d,n/d,n/d,n/a,ANX-DECK,Documentado
FIDC-VII,Rating,Rebaixamento da classificação de risco,Queda de 2 ou mais níveis,Evento de desalavancagem,n/d,n/d,Não,n/a,ANX-DECK,Documentado
FIDC-VII,Desinvestimento,Início do período de desinvestimento,"Mês 61 ou PL de R$ 100 mi, o que ocorrer primeiro",Início do desinvestimento,n/d,n/d,Não,n/a,ANX-DECK,Documentado
FIDC-VII,Revolvência,Período de reinvestimento obrigatório,12 meses,Principal suspenso e saldo reinvestido,n/d,n/d,Sim - em curso,2026-02-06,ANX-DECK,Documentado
