id,caminho_visual,screenshot,origem_codigo,observacao
A1,"Carteira FIDCs > Roteiro > Due diligence completa > topo","screenshots/due_01_y0.jpg","tabs/portfolio_page.py","Roteiro, blocos e contexto global."
A2,"Contexto e risco > Diagnostico da carteira > Visao executiva","screenshots/due_02_y1000.jpg","tabs/tab_fidc_ime_carteira.py","Cards e graficos de PL/DC/subordinacao."
A3,"Contexto e risco > Diagnostico da carteira > Credito","screenshots/due_04_y2300.jpg","tabs/tab_fidc_ime_carteira.py; tabs/tab_fidc_ime.py","Inadimplencia, PDD, cobertura, aging e Over."
A4,"Contexto e risco > Diagnostico da carteira > Prazo e eventos","screenshots/due_05_y4100.jpg","tabs/tab_fidc_ime_carteira.py; services/fidc_monitoring.py","Prazo de vencimento e prazo medio proxy."
B1,"Contexto e risco > Retorno e credito > Tabela Completa","screenshots/due_07_y5490.jpg","tabs/tab_mercado_livre.py","Tabela larga do somatorio."
B2,"Contexto e risco > Retorno e credito > Graficos consolidados","screenshots/due_08_y6090.jpg","tabs/tab_mercado_livre.py","PL/subordinacao e NPL/cobertura consolidados."
B3,"Contexto e risco > Retorno e credito > Fundo individual","screenshots/due_09_y6800.jpg","tabs/tab_mercado_livre.py","Tabela e graficos do fundo selecionado."
B4,"Contexto e risco > Retorno e credito > Analise Credito","screenshots/due_10_y7920.jpg","tabs/tab_dashboard_meli.py; tabs/tab_mercado_livre.py","KPIs e graficos de credito."
C1,"Monitoramento e governanca > Monitoramento recorrente > Cockpit","screenshots/due_15_y15860.jpg","tabs/tab_fidc_monitoring.py","KPIs recorrentes e tabelas por fundo."
C2,"Monitoramento e governanca > Monitoramento recorrente > Base regulatoria","screenshots/due_16_y17120.jpg","tabs/tab_fidc_monitoring.py","Criterios, emissoes, monitorabilidade e timeline CVM."
C3,"Monitoramento e governanca > Monitoramento recorrente > Tabela por Fundo","screenshots/due_19_y18600.jpg","tabs/tab_fidc_monitoring.py","Cockpit e tabela completa do fundo."
D1,"Monitoramento e governanca > Waterfall e deep dives > Waterfall","screenshots/due_22_y21000.jpg","tabs/tab_deep_dive.py","Waterfall e caixa/recebiveis via IME."
D2,"Monitoramento e governanca > Waterfall e deep dives > Dados do deep dive","screenshots/due_24_y22000.jpg","tabs/tab_deep_dive.py","Matriz longa do pacote de deep dive."
E1,"Diagnostico da carteira > Fundo individual","screenshots/individual_01_y900.jpg","tabs/tab_fidc_ime.py","Dashboard individual completo dentro da carteira."
E2,"Diagnostico da carteira > Fundo individual > Documentos","screenshots/individual_03_y1650.jpg","tabs/tab_fidc_ime.py","Documentos e anexos para diligencia."
E3,"Diagnostico da carteira > Fundo individual > Credito/prazo","screenshots/individual_06_y4100.jpg","tabs/tab_fidc_ime.py","Inadimplencia, PDD, aging, Over e prazo do fundo."
