posicao,veiculo_id,instrumento,cap_individual_pct,wam_max_dias,prazo_max_dias,ticket_max_PJ_R,nota_concentracao,nota_prazo_wam,nota_prazo_ativo,nota_ticket,indice_permissividade,eixos_avaliados,leitura,fonte_id,status
1,CRI-II,CRI,0.10,2000,3845,n/d,6.3,0.0,1.0,n/d,2.4,3,Mesmo recorte de CRI-I sem o teto de grupo; quatro Razões de Cobertura protegendo a cascata (159/123/110/105%).,ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
2,CRI-VI,CRI,0.11,2000,3845,n/d,8.0,0.0,1.0,n/d,3.0,3,"Três Razões de Cobertura (120,48/109,89/105,26%), menos camadas de trava que CRI-II, e o hedge cambial de taxa recai sobre a série retida.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
3,CRI-IV,CRI,0.17,2000,3845,n/d,15.7,0.0,1.0,n/d,5.6,3,"Cap individual mais folgado entre os CRIs, escalonado de 0,25% para 0,17%.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
4,CRI-I,CRI,0.10,2000,3845,600000,6.3,0.0,1.0,50.0,14.3,4,Único CRI com teto para os dez maiores devedores (1% do patrimônio separado); ticket PJ é o menor entre os CRIs.,ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
5,FIDC-III,FIDC,0.10,2000,3845,600000,6.3,0.0,1.0,50.0,14.3,4,"O warehouse com o mandato mais próximo de um CRI: 0,10% por devedor, WAM de 2.000 dias e teto de 1% para os dez maiores.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
6,FIDC-I,FIDC,2.00,2135,3836,502000,59.3,33.8,0.0,1.0,23.5,4,Adimplência na cessão não é explícita na lista de critérios - a redação é menos protetiva que a dos demais.,ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
7,CRI-V,CRI,0.07,2000,3845,700000,0.0,0.0,1.0,100.0,25.2,4,"Mandato mais restritivo do programa quando o pool amadurece: 0,07% por devedor e vedação expressa a parcela balão.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
8,CRI-III,CRI,0.10,2000,3845,700000,6.3,0.0,1.0,100.0,26.8,4,Igual a CRI-II em concentração; ticket PJ sobe de R$ 600 mil para R$ 700 mil.,ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
9,FIDC-II,FIDC,2.00,2400,4500,500000,59.3,100.0,71.9,0.0,57.8,4,"Prazo por recebível de até 4.500 dias na modalidade pós-fixada, o dobro do teto de WAM dos CRIs.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
10,FIDC-VI,FIDC,n/d,2400,3836,700000,n/d,100.0,0.0,100.0,66.7,3,Preço máximo de aquisição de 101% do saldo contábil; cap individual não divulgado no acervo.,ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
11,FIDC-VII,FIDC,n/d,2400,3836,700000,n/d,100.0,0.0,100.0,66.7,3,"Preço máximo sobe para 104% do saldo contábil e a elegibilidade passa a ser atestada por endossantes e originador, não pela gestora.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
12,FIDC-V,FIDC,2.00,n/d,4760,700000,59.3,n/d,100.0,100.0,86.4,3,"Único veículo que admite CPR-F além de CCB, com prazo por recebível de até 4.760 dias e ticket PF de R$ 500 mil.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
13,FIDC-IV,FIDC,20.00,n/d,n/d,n/d,100.0,n/d,n/d,n/d,100.0,1,"Mandato mais permissivo do programa: 20% por devedor, sem piso de subordinação e sem first loss corrente.",ANX-LAM-K1; ANX-LAM-K3; ANX-LAM-V174; ANX-TS-V177; ANX-DECK,Inferido - agregação dos parâmetros documentados; fórmula em 18_Metodologia
