veiculo_id,instrumento,camada,primeira_ocorrencia,ultima_ocorrencia,meses_com_pagamento,total_amortizado_Rmi,maximo_mensal_Rmi,respeitou_o_regulamento,fonte_id
FIDC-I,FIDC,Subordinado Jr.,2022-02-28,2026-07-31,41,45.3,2.1,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-I,FIDC,Mezanino,2024-01-31,2026-07-31,28,85.1,7.4,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-II,FIDC,Subordinado Jr.,2022-08-31,2026-02-28,20,118.8,13.8,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-II,FIDC,Mezanino,2023-12-31,2026-04-30,19,42.0,19.1,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-III,FIDC,Subordinado Jr.,2025-01-31,2026-07-31,18,26.0,3.2,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-III,FIDC,Mezanino,2024-04-30,2026-07-31,25,75.4,5.2,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-IV,FIDC,Subordinado Jr.,2022-07-31,2025-11-30,21,159.4,86.7,não disponível - a regra de saque do fundo IV está registrada como incompleta no acervo público,ANX-DECK
FIDC-IV,FIDC,Mezanino,2023-12-31,2025-08-31,12,279.5,151.4,não disponível - a regra de saque do fundo IV está registrada como incompleta no acervo público,ANX-DECK
FIDC-V,FIDC,Subordinado Jr.,2023-03-31,2026-02-28,6,11.6,3.4,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-V,FIDC,Mezanino,2023-12-31,2026-07-31,26,22.8,6.0,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-VI,FIDC,Subordinado Jr.,2025-12-31,2026-06-30,2,35.2,29.0,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-VI,FIDC,Mezanino,2025-03-31,2026-06-30,15,148.1,111.4,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
FIDC-VII,FIDC,Subordinado Jr.,2026-07-31,2026-07-31,1,7.7,7.7,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
CRI-I,CRI,Subordinado,2025-07-01,2026-06-01,12,22.5,7.4,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
CRI-II,CRI,Subordinado,2025-09-01,2026-05-01,9,7.8,2.6,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
CRI-II,CRI,Subordinado Jr.,2025-10-01,2026-05-01,8,6.8,1.4,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
CRI-III,CRI,Subordinado,2026-02-01,2026-05-01,4,8.3,3.2,não disponível - exige o demonstrativo dos testes na data de cada amortização,ANX-DECK
DEB-I,Debênture,2ª série subordinada,n/a,n/a,0,0.0,0.0,"Sim - o relatório mensal registra R$ 0,00 distribuídos aos investidores da 2ª série em 31/07/2026, consistente com a subordinação integral da cl. 3.3.2",ANX-RMA-DEB; ANX-ESC-DEB
