pagina,conceito_ou_metrica,definicao_atual_pre_revisao,aliases_pre_revisao,fontes_atuais_pre_revisao,cobertura_tematica,redundancias,contradicoes,afirmacoes_a_revalidar,status_proposto
overview,escopo e Informe Mensal,Limites repetidos e sem Tabela II.,IME; visão geral,RCVM 175; XML; Seller,introdução,Repete outras páginas.,Níveis fundo/classe e fonte do gestor inconsistentes.,PL por nível e cobertura do Informe.,corrigir e expandir
o-que-e-fidc,FIDC e direitos creditórios,Fundo como entidade separada e maioria sem coobrigação.,recebíveis; créditos elegíveis,RCVM 175; fundos antigos,fundamentos,Repete famílias e cessão.,Recebível e elegibilidade fundidos; generalização sem denominador.,Arquitetura RCVM 175.,corrigir
participantes,prestadores,Custodiante descrito como verificador universal.,administrador; gestor; cedente,RCVM 175; fundos antigos,participantes,Lastro repetido.,INSS tratado como devedor; gestor do cadastro confundido com Informe.,Arts. 36 a 39 e papéis operacionais.,corrigir e expandir
cessao-e-resolucao,transferência e remédios,"Validade, elegibilidade, recompra e resolução agregadas.",cessão; recompra,três regulamentos ausentes,transferência,Coobrigação repetida.,Cessão tratada como único modo; remédios universalizados.,"Endosso, regresso, coobrigação e lastro.",corrigir e dividir
hierarquia-regulatoria,mapa normativo,"Mapa parcial de RCVM 175, 160, 30 e XML.",175; 160; 30; 576,fontes oficiais,regulação,Limites do Informe repetidos.,Anexo II descrito com linguagem pré-RCVM 175.,"Contabilidade, ofícios e regime legado.",corrigir e expandir
oferta-rating-investidores,oferta e rating,Ritos e documentos generalizados.,rating; rito automático,RCVM 160; 30; ofertas ausentes,oferta,Rating repetido.,Rating descrito como retrospectivo; rito automático simplificado.,"Emissão, benchmark, remuneração e objeto do rating.",corrigir
classes-cotas-waterfall,arquitetura e waterfall,"Classe, subclasse, série, tranche e perdas misturadas.",waterfall; subordinação,RCVM 175; fundos antigos,estrutura,Subordinação repetida em métricas.,Patrimônio segregado atribuído ao nível errado.,"Separar níveis, caixa, resultado e perdas.",corrigir substancialmente
recebiveis-financeiros,famílias,Cinco famílias e afirmação de que o Informe não as captura.,consignado; cartão; veículos,fundos antigos ausentes,recebíveis,Repete origem financeira.,INSS como devedor; garantia implícita; Cielo contraditória.,"11 segmentos, F1-F8 e taxonomia documental.",corrigir e expandir
fidcs-originacao-if,originação financeira,Banco e fintech tratados como equivalentes.,originação; fintech,fundos antigos ausentes,originação,Repete famílias.,Prevalências sem denominador.,"SCD/SEP, canal, safra, servicing e dependência.",corrigir e expandir
metricas-estruturais,métricas,"Fórmulas sem nível, numerador, denominador ou unidade.",PL; cobertura; FPD,XML; fundos antigos,métricas,Subordinação duplicada.,Proxy tratado como índice contratual; quase universal sem amostra.,"Fórmulas, WAL, liquidez, reservas separadas.",corrigir e expandir
provisao-perdas-e-inadimplencia,desempenho contábil,Provisão e perda esperada agregadas; aging truncado.,PDD; atraso,fundos antigos,desempenho,Atraso repetido em métricas.,Cobertura acima/abaixo de 100% interpretada categoricamente.,"10 buckets, Over, cura, recuperação e write-off.",corrigir e dividir
eventos-avaliacao-liquidacao,eventos,Taxonomia contratual apresentada como escala geral.,gatilho; liquidação,RCVM 175; fundos antigos,eventos,Lastro repetido.,Evento e liquidação confundidos; cura e governança ausentes.,"Waiver, consentimento, quórum e estados do evento.",corrigir e expandir
lastro-rating-reporting,documentos e controles,"Título promete rating/reporting, corpo incompleto.",lastro; assembleia,ofício; documentos ausentes,monitoramento,Lastro repetido.,Custodiante generalizado; demonstrativo trimestral omitido.,Estados documentais e hierarquia de evidência.,corrigir e expandir
fundos-de-referencia,casos narrativos,"10 fundos no texto e 8 no JSON, sem CNPJ ou versão.",Seller; Facta; Geru,13 caminhos locais ausentes,exemplos,Repete perfis por família.,Cielo e coobrigação exigiam revalidação.,Converter em metodologia e 10 casos primários reconciliados.,depreciar catálogo e corrigir
__lacuna__,regime fundo/classe/subclasse,Ausente ou incorreto.,patrimônio segregado; série; tranche,RCVM 175,regime,—,—,Página canônica e conceitos separados.,criar
__lacuna__,participantes e prestadores,Cobertura parcial.,registradora; escriturador; distribuidor,RCVM 175,participantes,—,—,"Responsabilidade, contratação e continuidade.",criar
__lacuna__,instrumentos e garantias,Quase ausente.,CCB; duplicata; CPR; aval; fiança,RCVM 175; corpus,ativos,—,—,"Instrumentos, garantias e diluição.",criar
__lacuna__,Tabela II,Ausente.,11 segmentos; F1-F8,XML; dados CVM,reporte,—,—,Página canônica com qualidade de dados.,criar
__lacuna__,"reforços, revolvência e liquidez",Parcial ou ausente.,reserva; excesso de spread; ramp-up; WAL,RCVM 175; corpus,estrutura,—,—,Separar crédito e liquidez.,criar
__lacuna__,recuperação e baixa,Ausente.,cura; roll rate; write-off; recuperação,ICVM 489; ofícios,desempenho,—,—,Métricas com coorte e denominador.,criar
__lacuna__,waivers e governança,Ausente.,waiver; consentimento; quórum,RCVM 175; corpus,eventos,—,—,Estados auditáveis do evento.,criar
__lacuna__,termos por recebível,Cobertura financeira estreita.,NPL; risco sacado; energia; precatório,Tabela II; corpus,recebíveis,—,—,Cobrir segmentos e taxonomia documental.,criar
