degrau,ordem,CRI-II (2ª Kanastra),CRI-VI (177ª VERT),divergencia
Despesas e reserva de despesas,1,Sim - itens (a) e (b),Sim - itens (a) e (b),Igual
Ajustes de contratos de derivativos,2,Não previsto,"Sim - item (c), antes da remuneração sênior",CRI-VI paga o swap antes de qualquer investidor
Remuneração da camada sênior,3,"1ª série, sem condição de cobertura","1ª e 2ª séries em conjunto, sem condição de cobertura",CRI-VI tem duas séries sênior pari passu
Amortização da camada sênior,4,Maior entre o Anexo I e o Saldo Devedor Target,"Até 98% do valor nominal, mantendo a razão base entre as duas séries sênior",CRI-VI trava a proporção entre Sênior A e B (cl. 7.5.3)
Camadas intermediárias,5,"Sênior, Mezanino e Subordinado, cada uma travada pelas coberturas acima","Terceira e Quarta séries (Mezanino I e II), travadas pelas coberturas acima","Mesma lógica, menos camadas"
Reserva de caixa de derivativos,6,Não previsto,"Sim - item (p), antes da série retida",CRI-VI protege o swap com reserva de até 1% do valor presente
Série retida pelo originador,7,"5ª série, exige as quatro Razões de Cobertura e saldo acima do Target","5ª série, exige as três Razões de Cobertura e saldo acima do Target",Mesma mecânica
Amortização extraordinária proporcional,8,"Sim - item (aa), só séries enquadradas","Sim - item (t), só séries enquadradas",Igual
Prêmio Final à série retida,9,"Sim - item (bb), após resgate das quatro séries públicas","Sim - item (u), após resgate das quatro séries públicas",Igual
Alocação em investimentos permitidos,10,Sim - item (cc),Sim - item (v),Igual
