conflito_id,veiculo_id,campo,valor_fonte_A,fonte_A,data_base_A,valor_fonte_B,fonte_B,data_base_B,valor_adotado,decisao_justificativa,conflito,fonte_id,status,nota_metodo
CONF_01,CRI_K1,volume da emissão,R$600 mi,ANX_XP_20260428,2026-04-28,R$588 mi público / R$603 mi total,ANX_CRI1_PROSP_20240216,2024-02-16,R$588 mi público; R$603 mi total,O deck arredonda e mistura perímetros; o prospecto separa oferta pública e série privada.,sim,ANX_XP_20260428 | ANX_CRI1_PROSP_20240216,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_02,CRI_K1,taxa Série 3,"16,48% (número)",ANX_CRI1_PROSP_20240216 p.14,2024-02-16,"17,48% (por extenso)",ANX_CRI1_PROSP_20240216 p.211,2024-02-16,"16,48% com conflito=sim",O valor numérico foi preservado; confirmação operacional continua pendente.,sim,ANX_CRI1_PROSP_20240216,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_03,CRI_K1,gatilho de atraso,3 meses,ANX_XP_20260428 p.17,2026-04-28,2 verificações; 3 conformes para cura,ANX_CRI1_PROSP_20240216 p.228,2024-02-16,2 verificações,O termo definitivo define o gatilho e distingue a cura.,sim,ANX_XP_20260428 | ANX_CRI1_PROSP_20240216,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_04,CRI_K1,custo de distribuição,"R$13,8567 mi",ANX_CRI1_PROSP_20240216 p.85,2024-02-16,"R$1,5732 mi",ANX_CRI1_PROSP_20240216 p.312,2024-02-16,"R$13,8567 mi como custo amplo; subtotal separado",A tabela ampla contém distribuição e prestadores; o anexo é subtotal restrito.,sim,ANX_CRI1_PROSP_20240216,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_05,CRI_K2,volume,"R$727,5 mi",ANX_CRI2_BOOK_20240620,2024-06-20,"R$750,0 mi",ANX_XP_20260428 p.16,2026-04-28,"R$727,5 mi público; R$750,0 mi total","A diferença é a série privada de R$22,5 mi.",sim,ANX_CRI2_BOOK_20240620 | ANX_XP_20260428,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_06,CRI_K2,identificadores no Informe Mensal,ISINs/maturidades copiados da 1ª emissão,CVM_CRI_2026_CLASSE,2026-06-01,ISINs e vencimentos da 2ª emissão,ANX_CRI2_RATING_202406,2024-06-01 a 2024-06-30,documentos da oferta; saldo por número da série,O filing corrente contém campos incompatíveis com a emissão.,sim,CVM_CRI_2026_CLASSE | ANX_CRI2_RATING_202406,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_07,CRI_K3,volume,R$600 mi,ANX_XP_20260428 p.11,2026-04-28,"R$750 mi total / R$727,5 mi público",CVM_OFERTAS_RCVM160_20260822 | CVM_CRI_2026_CLASSE,2026-08-20 | 2026-06-01,"R$727,5 mi público; R$750 mi total",Oferta encerrada e Informe Mensal têm competência e perímetro definidos.,sim,ANX_XP_20260428 | CVM_OFERTAS_RCVM160_20260822 | CVM_CRI_2026_CLASSE,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_08,CRI_K3,taxa contratada,taxas preliminares/tetos,ANX_CRI3_LAM_PREL_20250422,2025-04-22,campo Taxa_Juros inválido no filing,CVM_CRI_2026_CLASSE,2026-06-01,taxa contratada n/d; preliminar em coluna própria,Teto de bookbuilding não é taxa final.,sim,ANX_CRI3_LAM_PREL_20250422 | CVM_CRI_2026_CLASSE,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_09,CRI_K4,número de séries e volume,7 séries / R$450 mi,ANX_XP_20260428,2026-04-28,"6 séries públicas / R$436,5 mi",ANX_CRI4_INICIO_20250929,2025-09-29,7 totais: 6 públicas + 1 privada; R$450 mi total,Os dois números descrevem perímetros distintos.,sim,ANX_XP_20260428 | ANX_CRI4_INICIO_20250929,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_10,CRI_K4,data de emissão,2025-09-28,CVM_CRI_2026_CLASSE,2026-06-01,2025-09-29 (registro/anúncio),ANX_CRI4_INICIO_20250929,2025-09-29,2025-09-28 emissão; 2025-09-29 registro/anúncio,As datas se referem a eventos jurídicos diferentes.,sim,CVM_CRI_2026_CLASSE | ANX_CRI4_INICIO_20250929,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_11,CRI_V174,data,2026-05-29,USER_REQUEST_20260822,2026-08-22,2026-05-20 emissão; encerramento 2026-05-28,CVM_CRI_2026_GERAL | CVM_OFERTAS_RCVM160_20260822,2026-06-01 | 2026-08-20,2026-05-20,O Informe Mensal identifica a data jurídica da emissão.,sim,USER_REQUEST_20260822 | CVM_CRI_2026_GERAL | CVM_OFERTAS_RCVM160_20260822,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_12,CRI_V177,data,2026-07-31,USER_REQUEST_20260822,2026-08-22,2026-07-21 emissão; termo/anúncio 2026-07-20,CVM_FUNDOSNET_VERT177_20260720,2026-07-20,2026-07-21,O termo fixa a emissão; 31/07 não é a data jurídica documentada.,sim,USER_REQUEST_20260822 | CVM_FUNDOSNET_VERT177_20260720,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_13,Universo,quantidade de séries,34 séries totais,USER_REQUEST_20260822,2026-08-22,31 identificadores no resultado agregado inicial da busca B3,UNIVERSO_SEARCH_20260822,2026-08-22,"34 séries: 28 públicas + 6 privadas, confirmadas nos seis termos",Os termos por emissão prevalecem; a visão agregada de busca omitiu três séries e não define o universo contratual.,sim,USER_REQUEST_20260822 | UNIVERSO_SEARCH_20260822,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_14,FIDC_II,targets de capital,80% / 16% / 6%,DOC_FIDC_II_REG_202412,2024-12-01 a 2024-12-31,soma 102%,METH_RECONCILIACAO,2026-08-22,preservar redação; não normalizar,Inconsistência aritmética do regulamento permanece explícita.,sim,DOC_FIDC_II_REG_202412 | METH_RECONCILIACAO,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_15,CRI_K1,limite PF/PJ,valor nominal no resumo,ANX_CRI1_PROSP_20240216,2024-02-16,valor presente no termo consolidado,ANX_CRI1_PROSP_20240216,2024-02-16,valor presente,O termo consolidado é a redação contratual específica.,sim,ANX_CRI1_PROSP_20240216,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_16,CRI_K1,volume na página da securitizadora,R$600 mi,KANASTRA_API_20260822,2026-08-22,R$588 mi público / R$603 mi total,ANX_CRI1_PROSP_20240216,2024-02-16,R$588 mi público; R$603 mi total,A página comercial arredonda o volume; o prospecto separa oferta pública e série privada.,sim,KANASTRA_API_20260822 | ANX_CRI1_PROSP_20240216,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_17,CRI_K3,número da emissão na página da securitizadora,1ª emissão,KANASTRA_API_20260822,2026-08-22,3ª emissão,CVM_FUNDOSNET_TERMOS_CRI_20260822,2026-08-22,3ª emissão,O termo oficial define a numeração jurídica da emissão.,sim,KANASTRA_API_20260822 | CVM_FUNDOSNET_TERMOS_CRI_20260822,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_18,CRI_V177,data no portal da securitizadora,2026-07-08,VERT_DATA_20260822,2026-08-22,2026-07-21,CVM_FUNDOSNET_VERT177_20260720,2026-07-20,2026-07-21,O termo oficial fixa a data jurídica; o portal exibe uma data operacional distinta.,sim,VERT_DATA_20260822 | CVM_FUNDOSNET_VERT177_20260720,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_19,CRIs,unidade de Valor_Certificados no Informe Mensal,saldo agregado em R$ em parte das competências,CVM_CRI_2024_CLASSE,2024-01-01 a 2024-12-31,valor unitário próximo de R$1 mil em outras competências,CVM_CRI_2026_CLASSE,2026-06-01,usar apenas saldo claramente agregado; caso ambíguo = n/d,A unidade muda no próprio campo e a quantidade corrente não reconcilia o valor unitário; nenhuma multiplicação ou roll-forward foi estimado.,sim,CVM_CRI_2024_CLASSE | CVM_CRI_2026_CLASSE,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
CONF_20,Universo,volume público agregado,R$ 3563.628000 mi,CVM_OFERTAS_RCVM160_20260822,2026-08-20,R$ 3563.632822 mi,CVM_FUNDOSNET_TERMOS_CRI_20260822,2026-08-22,R$ 3563.628000 mi no agregado; valores por série preservados,O agregado adota o volume registrado na CVM; os valores nominais individuais permanecem como publicados nos termos. A diferença de pequena monta continua explícita.,sim,CVM_OFERTAS_RCVM160_20260822 | CVM_FUNDOSNET_TERMOS_CRI_20260822,Documentado,Conflito tratado explicitamente; nenhuma fonte foi sobrescrita silenciosamente.
